"file","class","strategy","score","code_quality","has_sl","has_tp","has_trailing","has_grid","has_martingale","has_equity_stop","has_time_filter","has_money_mgmt","indicators","timeframe","function_count","obfuscated_count"
"Adenan Scalping.mq4","C","GridMartingale","33","obfuscated","True","True","False","False","True","True","False","True","MA","Any","1","38"
"AF-Global Expert Full.mq4","B","GridMartingale","58","clean","True","True","True","True","False","True","False","False","RSI","H1","0","0"
"AF-Investing.Cv.mq4","C","GridMartingale","41","clean","False","True","False","True","False","False","True","True","RSI","Any","0","0"
"alex_v1_1.mq4","B","Scalping","51","clean","True","True","True","False","False","False","False","False","","Any","3","0"
"Algo Samurai.mq4","C","Unknown","37","clean","True","True","False","False","False","False","True","True","","Any","1","0"
"amingrid.mq4","C","GridMartingale","43","clean","True","False","False","True","False","False","False","False","MA, RSI","Any","6","0"
"another martingale fix.mq4","C","GridMartingale","46","clean","True","True","True","False","True","False","False","False","MA, RSI","Any","2","0"
"Arnold.mq4","A","MeanReversal","62","clean","True","True","True","False","False","False","False","False","MACD, RSI, Stochastic, Pivot","Any","3","0"
"AsiaScalperPro_.mq4","C","Scalping","12","obfuscated","False","True","True","False","False","False","False","False","","Any","3","37"
"ASSAR V10 Final.mq4","B","Scalping","49","clean","True","True","True","False","False","False","False","False","","Any","1","0"
"Auto Trading_v2.02.mq4","C","Trend","36","clean","False","False","False","False","False","False","False","False","MA, RSI","Any","5","0"
"BEAST SUPER SIGNAL EXPERT ADVISOR.mq4","C","Unknown","10","clean","False","False","False","False","False","False","False","False","","Any","0","0"
"Beast_EA_V4.mq4","B","GridMartingale","56","clean","True","True","True","True","True","False","True","True","RSI","Any","3","0"
"Beast_EA_V5.mq4","B","GridMartingale","56","clean","True","True","True","True","True","False","True","True","RSI","Any","3","0"
"beovb_buovb_bar.mq4","B","MeanReversal","49","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"Big Rise EA.mq4","C","Unknown","10","clean","False","False","False","False","False","False","False","False","","Any","0","0"
"BigRise EA.mq4","C","MeanReversal","42","clean","True","False","False","False","False","False","False","False","RSI","Any","1","0"
"Bismillah Hedge..mq4","C","Breakout","32","clean","False","False","False","False","False","False","True","False","","Any","3","0"
"Black.mq4","B","Scalping","51","clean","True","True","True","False","False","False","False","False","RSI","Any","4","0"
"Blessing 3 v3.9.6.09.mq4","B","MultiStrategy","51","clean","False","True","False","True","False","False","False","True","MA, MACD, RSI, Stochastic, CCI, Bollinger, Donchian","Any","0","0"
"BlessingLite-gamma.mq4","C","Trend","34","clean","False","False","False","False","False","False","False","False","MA, RSI","Any","0","0"
"Blessing_3_v3.9.6.18.mq4","C","MeanReversal","28","clean","False","False","False","False","False","False","False","False","RSI","Any","0","0"
"BLUE GOLD EA (FMP.SA).mq4","C","Unknown","10","clean","False","False","False","False","False","False","False","False","","Any","0","0"
"Bollinger_Bands_Exit_Strategy.mq4","C","Trend","41","clean","False","True","False","False","False","False","False","False","MA, Bollinger","Any","3","0"
"bot gold.mq4","C","Unknown","37","clean","True","True","True","False","False","False","False","False","","Any","1","0"
"Breakeven.mq4","B","Trend","48","clean","True","True","False","False","False","False","False","False","MA","Any","4","0"
"BreakOutBoxesV2.06.mq4","C","Breakout","40","clean","True","False","False","False","False","False","True","False","","Any","0","0"
"Calculate Trendline Script.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"CalendarFX-DeactivateEAs_v1.02_danEdit.mq4","C","Trend","39","clean","False","True","False","False","False","False","True","False","MA, RSI","Any","0","0"
"ClickCloseAllv01.mq4","C","MeanReversal","33","clean","False","False","False","False","False","False","False","False","RSI","Any","5","0"
"Close all positions at profit target v1.1.mq4","C","Breakout","29","clean","False","False","False","False","False","False","False","False","","Any","5","0"
"Close All.mq4","C","MeanReversal","30","clean","False","False","False","False","False","False","False","False","RSI","Any","1","0"
"Close Losses.mq4","C","MeanReversal","30","clean","False","False","False","False","False","False","False","False","RSI","Any","1","0"
"Close Open.mq4","C","MeanReversal","30","clean","False","False","False","False","False","False","False","False","RSI","Any","1","0"
"Close Pendings.mq4","C","MeanReversal","30","clean","False","False","False","False","False","False","False","False","RSI","Any","1","0"
"Close Profits.mq4","C","MeanReversal","30","clean","False","False","False","False","False","False","False","False","RSI","Any","1","0"
"CloseAfterXpips EA.mq4","C","Unknown","23","clean","False","True","False","False","False","False","False","False","","Any","7","0"
"CloseAllTrades.mq4","C","Breakout","26","clean","False","False","False","False","False","False","False","False","","Any","1","0"
"CloseAllTradesBuy.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"CloseAllTradesBuyCurrent.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"CloseAllTradesCurrent.mq4","C","Breakout","26","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"CloseAllTradesOpened.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"CloseAllTradesOpenedCurrent.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
