"file","class","strategy","score","indicators","has_sl","has_tp","code_quality"
"Arnold.mq4","A","MeanReversal","62","MACD, RSI, Stochastic, Pivot","True","True","clean"
"Forex WINNER EA (FULL2019).mq4","A","GridMartingale","65","MA, RSI","True","True","clean"
"Ilan V 1.6.mq4","A","MeanReversal","65","MA, RSI, CCI","True","True","clean"
"Ilan-Trio V1.49.mq4","A","GridMartingale","64","RSI","True","True","clean"
"Ilan_1.5_ZeroProfit.mq4","A","GridMartingale","62","MACD","True","True","clean"
"Ilan_1.6_Dynamic_MM.mq4","A","MeanReversal","65","MA, RSI, CCI","True","True","clean"
"Ilan_Nikolaus_mod.mq4","A","MeanReversal","62","RSI, CCI","True","True","clean"
"Ilan_RSI_MACD.mq4","A","Trend","65","MA, MACD, RSI","True","True","clean"
"MACD Cross Zero EA v1.02.mq4","A","Trend","64","MA, MACD","True","True","clean"
"Perfect Crypto Scalper.mq4","A","Trend","62","MA, MACD, RSI","True","True","clean"
"PINBAR.mq4","A","MultiStrategy","65","MA, MACD, RSI, CCI, Fractals","True","True","clean"
"Robot Forex 2051MAC (RUS).mq4","A","GridMartingale","62","MACD","True","True","clean"
"Robot_Forex_2014_Profesional__Live.mq4","A","Scalping","62","","True","True","clean"
"RSI&CCI DIVERGENCE V1.mq4","A","MultiStrategy","70","MA, MACD, RSI, CCI","True","True","clean"
"Sidus-EA-V3.20.mq4","A","GridMartingale","63","MA, RSI","True","True","clean"
"SMC USD JPY cci test.mq4","A","MultiStrategy","62","MA, MACD, RSI, CCI","True","True","clean"
"ultraea.mq4","A","Scalping","63","MA, RSI","True","True","clean"
"winscalper 2020.mq4","A","Scalping","63","RSI","True","True","clean"
"XMT Scalper v3.mq4","A","MeanReversal","63","MA, RSI, Bollinger","True","True","clean"
"AF-Global Expert Full.mq4","B","GridMartingale","58","RSI","True","True","clean"
"alex_v1_1.mq4","B","Scalping","51","","True","True","clean"
"ASSAR V10 Final.mq4","B","Scalping","49","","True","True","clean"
"Beast_EA_V4.mq4","B","GridMartingale","56","RSI","True","True","clean"
"Beast_EA_V5.mq4","B","GridMartingale","56","RSI","True","True","clean"
"beovb_buovb_bar.mq4","B","MeanReversal","49","RSI","True","True","clean"
"Black.mq4","B","Scalping","51","RSI","True","True","clean"
"Blessing 3 v3.9.6.09.mq4","B","MultiStrategy","51","MA, MACD, RSI, Stochastic, CCI, Bollinger, Donchian","False","True","clean"
"Breakeven.mq4","B","Trend","48","MA","True","True","clean"
"cm-Trade-System-201119.mq4","B","Scalping","50","RSI","True","True","clean"
"CRIPTOBOT EA - New Version 8.5.7.mq4","B","Trend","54","MA, MACD, RSI, Fractals","True","True","clean"
"Crypto Amazing Analysis 2.6.0.mq4","B","Trend","57","MA, MACD, RSI","True","True","clean"
"Dope.mq4","B","Scalping","54","RSI","True","True","clean"
"Dope_mod.mq4","B","Scalping","60","RSI","True","True","clean"
"Dope_mod_2.mq4","B","Scalping","60","RSI","True","True","clean"
"Doske_Scalping_EA_ver1.mq4","B","Scalping","59","MA","True","True","clean"
"Double(Ilan1_5&Ilan1_6).mq4","B","GridMartingale","54","","True","True","clean"
"Dragon Pips v2.02 Rev.mq4","B","Trend","54","MA","True","True","clean"
"e-Regr (2).mq4","B","Scalping","49","","True","True","clean"
"e-Regr.mq4","B","Scalping","49","","True","True","clean"
"EA - Budak Ubat v1.51.mq4","B","GridMartingale","61","Donchian","True","True","clean"
"EA Masyuk V3..mq4","B","Trend","54","MA","True","True","clean"
"EA Phoenix 2021.mq4","B","Scalping","54","RSI","True","True","clean"
"EA Phoenix 2021_edited.mq4","B","Scalping","52","","True","True","clean"
"EA Predator Pips.mq4","B","GridMartingale","49","MA","True","True","clean"
"EA Profit V10.mq4","B","Scalping","61","MA, RSI","True","True","clean"
"EA Pyramid 7.mq4","B","MeanReversal","52","RSI, Bollinger","True","True","clean"
"EA RoboFibo v.11.2.mq4","B","GridMartingale","61","MA, RSI","True","True","clean"
"EA Sarapan-Pagi_2.mq4","B","MeanReversal","50","MA, RSI, Stochastic","True","True","clean"
"EA SCALPERAUTOPILOT.mq4","B","Scalping","55","MA, RSI","True","True","clean"
"EA Scalping Asia.mq4","B","Scalping","51","Pivot","True","True","clean"
"EA Smart Neural V1.mq4","B","GridMartingale","49","MA","True","True","clean"
"EA SPARTAN BOLT_.mq4","B","GridMartingale","58","MA","True","True","clean"
"EA-2MACrossover_v1-0.mq4","B","Trend","52","MA, RSI","True","True","clean"
"Ea-Tesshinso.mq4","B","Scalping","54","RSI","True","True","clean"
"EasyRobot.mq4","B","Scalping","55","RSI","True","True","clean"
"engulfing EA.mq4","B","MeanReversal","49","RSI","True","True","clean"
"FEDTM Billioner.mq4","B","Scalping","48","RSI","True","True","clean"
"FiboPivotandRSI.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Firebird MC v058.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird MC v0581.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird MC v0582.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird MC v0583.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v0.55.mq4","B","GridMartingale","48","MA","True","True","clean"
"Firebird v0.57.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v0.63.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v0.64.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v0.65.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v01.57.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v060.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v065tf.mq4","B","GridMartingale","51","MA, Donchian","True","True","clean"
"Firebird v0_58_JD.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v0_58_symbol_fix.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v63 TVD1.mq4","B","GridMartingale","50","MA, Donchian","True","True","clean"
"Firebird v63 TVD2.mq4","B","GridMartingale","50","MA, Donchian","True","True","clean"
"Firebird v63B1.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Firebird v63D1.mq4","B","GridMartingale","54","MA, Donchian","True","True","clean"
"Firebird_v0_60_deaz1.mq4","B","GridMartingale","48","MA, Donchian","True","True","clean"
"Forex Robotron v1.3_fix_x.mq4","B","MeanReversal","56","RSI","True","True","clean"
"FreeScalper.mq4","B","Scalping","51","RSI","True","True","clean"
"FX87 code.mq4","B","Scalping","60","RSI","True","True","clean"
"GEBA ROBOT.mq4","B","Trend","54","MA, ADX, RSI","True","True","clean"
"GEBA ROBOT2.mq4","B","Trend","54","MA, ADX, RSI","True","True","clean"
"Generic v13.20.mq4","B","MeanReversal","52","MA, RSI, CCI, Bollinger, Donchian","True","True","clean"
"GoWithFlow.mq4","B","GridMartingale","52","MA","True","True","clean"
"Grid_Template.mq4","B","GridMartingale","52","RSI","True","True","clean"
"high profit EA.mq4","B","GridMartingale","57","MA","True","True","clean"
"iCustom-EA-V3.15.mq4","B","GridMartingale","58","MA, RSI","True","True","clean"
"icwr1.12.mq4","B","Trend","50","MA, RSI","True","True","clean"
"icwr1.12Bx.mq4","B","Trend","50","MA, RSI","True","True","clean"
"icwr1.13x.mq4","B","Trend","50","MA, RSI","True","True","clean"
"icwr1.17.mq4","B","Trend","53","MA, ADX, RSI","True","True","clean"
"icwr1.19.mq4","B","Trend","53","MA, ADX, RSI","True","True","clean"
"icwr1.20.mq4","B","Trend","53","MA, ADX, RSI","True","True","clean"
"icwr19.mq4","B","Trend","53","MA, ADX, RSI","True","True","clean"
"icwr2.19.mq4","B","Trend","53","MA, ADX, RSI","True","True","clean"
"IKONIKROBOT.(EA).mq4","B","GridMartingale","50","MA, RSI","True","True","clean"
"Ilan-1.8.mq4","B","GridMartingale","59","","True","True","clean"
"Ilan-Combi V2.1.mq4","B","GridMartingale","61","MA, DeMarker","True","True","clean"
"Ilan-Combi _Dinamic.mq4","B","GridMartingale","61","MA, DeMarker","True","True","clean"
"Ilan-Trio V1.2.mq4","B","GridMartingale","56","RSI","True","True","clean"
"Ilan-Trio V1.33.mq4","B","GridMartingale","56","RSI","True","True","clean"
"Ilan-Trio V1.43.mq4","B","GridMartingale","56","RSI","True","True","clean"
"Ilan-Trio V1.45.4.mq4","B","GridMartingale","60","RSI","True","True","clean"
"Ilan-Trio V1.47.mq4","B","GridMartingale","58","RSI","True","True","clean"
"Ilan1.6.Prof6.mq4","B","GridMartingale","57","","True","True","clean"
"Ilan_16TD_CCI_1.3.mq4","B","MeanReversal","59","RSI, CCI","True","True","clean"
"Ilan_16TD_SCT.mq4","B","MeanReversal","59","RSI, CCI","True","True","clean"
"Ilan_HiLo_RSI.mq4","B","GridMartingale","59","RSI","True","True","clean"
"Ilan_HiLo_RSI_Dinamic.mq4","B","GridMartingale","59","RSI","True","True","clean"
"Ilan_HiLo_RSI_fixed_by_Vespertilio.mq4","B","GridMartingale","59","RSI","True","True","clean"
"Ilan_T1000_Plus2.mq4","B","Scalping","59","RSI","True","True","clean"
"Ilan_Tren_AHP_2010.mq4","B","GridMartingale","57","","True","True","clean"
"ILAN_TURBO_BETA_v.4.5.11_Plus.mq4","B","Scalping","59","RSI","True","True","clean"
"ILAN_TURBO_BETA_v.4.5.1_Plus_PcntM.mq4","B","Scalping","58","RSI","True","True","clean"
"Ilan_VS_TrendTrading_LastTP_v1_2.mq4","B","GridMartingale","51","CCI","True","True","clean"
"Ilan_VS_TrendTrading_Trail.mq4","B","GridMartingale","51","CCI","True","True","clean"
"IS Black EA.mq4","B","GridMartingale","48","RSI","True","True","clean"
"janda tukang rename.mq4","B","Scalping","54","RSI","True","True","clean"
"KGFv1.mq4","B","GridMartingale","58","RSI","True","True","clean"
"MACD Sample.mq4","B","Trend","52","MA, MACD","True","True","clean"
"MaHadgeEA.mq4","B","Scalping","56","MA, RSI","True","True","clean"
"MA_Cross_with_Exit_EA.mq4","B","Scalping","55","MA","True","True","clean"
"Mission Impossible Power Two Open Version 2.mq4","B","GridMartingale","52","RSI","True","True","clean"
"Money Hunter_Modified _Ea _fixed lot.mq4","B","Scalping","54","RSI","True","True","clean"
"MorFX Gold Digger A+.mq4","B","GridMartingale","59","RSI","True","True","clean"
"MQLTA MT4 High Low Trailing Stop.mq4","B","Scalping","49","MA, RSI","True","False","clean"
"MR dollar_Pending Orders EA V6.1.mq4","B","Scalping","51","","True","True","clean"
"MR.dollar_Pending Orders EA V5.5.mq4","B","Scalping","51","","True","True","clean"
"MR.dollar_Pending Orders EA V6.1.mq4","B","Scalping","51","","True","True","clean"
"muhsinEA.mq4","B","Trend","61","MA, RSI","True","True","clean"
"Multi Lot Scalper.mq4","B","Scalping","59","RSI, Pivot","True","True","clean"
"Multi-Lot Scalper.mq4","B","Scalping","54","Pivot","True","True","clean"
"multilot scalper.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"MultiTrader.mq4","B","Trend","49","MA, RSI","True","True","clean"
"Multi_Lot_Scalper.mq4","B","Scalping","54","Pivot","True","True","clean"
"Multi_Lot_Scalper1.mq4","B","Scalping","54","Pivot","True","True","clean"
"Multi_Lot_Scalper_A.mq4","B","Scalping","54","Pivot","True","True","clean"
"Multi_Lot_Scalper_Psars.mq4","B","Scalping","54","Pivot","True","True","clean"
"Multi_Lot_Scalper_Psars1.mq4","B","Scalping","54","Pivot","True","True","clean"
"Multi_Lot_Scalper_PsarsV1.mq4","B","Scalping","56","RSI, Pivot","True","True","clean"
"Multi_Lot_Scalper_P_D1_JLY4.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Multi_Lot_Scalper_P_DAY_MT4.mq4","B","GridMartingale","54","RSI, Donchian","True","True","clean"
"Multi_Lot_Scapler_P_DAY_JLY.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Multi_Lot_Scapler_P_DAY_JLY1.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Multi_Lot_Scapler_P_DAY_JLY2.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Multi_Lot_Scapler_P_DAY_JLY3.mq4","B","Scalping","53","RSI, Pivot","True","True","clean"
"Multi_Lot_Scapler_P_DAY_MT4.mq4","B","GridMartingale","54","RSI, Donchian","True","True","clean"
"Multi_Lot_Scapler_P_DAY_MT41.mq4","B","GridMartingale","54","RSI, Donchian","True","True","clean"
"MY MILLIONS EA.mq4","B","Scalping","57","MA, RSI","True","False","clean"
"my10trend.mq4","B","GridMartingale","52","RSI","True","True","clean"
"MyLuckyProV04p.mq4","B","MeanReversal","49","RSI","True","True","clean"
"My_First_Adviser.mq4","B","MeanReversal","49","MA, RSI, Bollinger","True","False","clean"
"NASDAQ Robotron.mq4","B","Scalping","53","RSI","True","True","clean"
"News Traders Mt4 v01.mq4","B","Scalping","54","RSI","True","True","clean"
"News Trading Pending Order EA v1.6.mq4","B","Scalping","54","RSI","True","True","clean"
"News_Grabber_Limit.mq4","B","Scalping","49","","True","True","clean"
"News_Traders_Mt4_v01.mq4","B","Scalping","54","RSI","True","True","clean"
"Noah10pips2006.mq4","B","Scalping","54","","True","True","clean"
"Nrtr_revers_www_forex-instruments_info.mq4","B","Scalping","51","","True","True","clean"
"NTK_07.mq4","B","Scalping","55","MA","True","True","clean"
"NY breakout v0.10.mq4","B","Scalping","54","MA","True","True","clean"
"NY breakout v0.11.mq4","B","Scalping","54","MA","True","True","clean"
